캠퍼스,부서,이름,전화번호
1,대학원,행정팀(학사 및 행정 업무),02-2220-0233
1,대학원,공공정책대학원장,02-2220-0250
1,대학원,행정팀장,02-2220-0251
1,대학원,행정팀(행정업무-예산/입시/학적),02-2220-0252
1,대학원,행정팀(논문/과정선택/강의실 및 기자재),02-2220-0253
1,대학원,교강사실,02-2220-0236
1,대학원,고위정책과정,02-2220-0239
1,대학원,총학생회실,02-2220-1728
1,대학원,교육대학원장,02-2220-0260
1,대학원,행정팀장,02-2220-1091
1,대학원,행정팀(교직 운영),02-2220-0261
1,대학원,행정팀(수업/비전임교원/대학정보공시 및 고등교육 통계),02-2220-0262
1,대학원,행정팀(학적/장학/졸업(논문)),02-2220-0263
1,대학원,원우회실,02-2220-2750
1,대학원,언론정보대학원장,02-2220-0265
1,대학원,행정팀장,02-2220-0266
1,대학원,행정팀,02-2220-0267
1,대학원,행정팀,02-2220-0268
1,대학원,원우회실,02-2220-0839
1,대학원,국제관광대학원장,02-2220-0811
1,대학원,행정팀장,02-2220-0216
1,대학원,행정팀,02-2220-0817
1,대학원,행정팀,02-2220-0818
1,대학원,임상간호정보대학원장,02-2220-3160
1,대학원,행정팀장,02-2220-3161
1,대학원,행정팀,02-2220-3164
1,대학원,행정팀,02-2220-3163
1,대학원,부동산융합대학원,02-2220-1210
1,대학원,행정팀장,02-2220-1209
1,대학원,행정팀,02-2220-1211
1,대학원,행정팀,02-2220-0235
1,대학원,보건대학원,02-2220-0580
1,대학원,행정팀장,02-2220-0583
1,대학원,행정팀,02-2220-0716
1,대학원,상담심리대학원,02-2220-1210
1,대학원,행정팀장,02-2220-1091
1,대학원,행정팀,02-2220-2611
1,대학,공과대학장,02-2220-3100
1,대학,학장부속실,02-2220-3101
1,대학,부학장,02-2220-3102
1,대학,공과대학 행정팀장,02-2220-3103
1,대학,선임팀원,02-2220-3104
1,대학,경영지원  기획/행사,02-2220-3140
1,대학,국제화/시간표,02-2220-3141
1,대학,예산/총무/학생회,02-2220-3142
1,대학,시설/관재,02-2220-3143
1,대학,학부  건축학부/자원환경공학과,02-2220-3110
1,대학,건축공학부/도시공학과,02-2220-3111
1,대학,융합전자공학부,02-2220-3112
1,대학,전기생체공학부(전기공학/생체공학),02-2220-3113
1,대학,신소재공학부/유기나노공학과,02-2220-3114
1,대학,화학공학과/생명공학과,02-2220-3115
1,대학,기계공학부,02-2220-3116
1,대학,원자력공학과/산업공학과,02-2220-3117
1,대학,대학원  건축학과/자원환경공학과/건축공학과/도시공학과,02-2220-3120
1,대학,전자컴퓨터통신공학과/나노반도체공학과(학과간)/지능형로봇학과(학과간)/정보디스플레이공학과(학과간),02-2220-3121
1,대학,신소재공학부/유기나노공학과/화학공학과/생명공학과,02-2220-3122
1,대학,융합기계공학과/원자력공학과/산업공학과/융합국방학과(학과간),02-2220-3123
1,대학,전기공학과/생체공학과,02-2220-3124
1,대학,교무   융합전자공학부/전기.생체공학부/건축학부/자원환경공학과,02-2220-3125
1,대학,신소재공학과/유기나노공학과/화학공학과/생명공학과/도시공학과,02-2220-3126
1,대학,기계공학부/원자력공학과/산업공학과/건축공학부,02-2220-3127
1,대학,소프트웨어 학장실,02-2220-3130
1,대학,소프트웨어 행정팀장,02-2220-3131
1,대학,행정  교무/기획/총무/예산,02-2220-3132
1,대학,학부  컴퓨터소프트웨어학부/정보시스템학과/미래자동차공학과,02-2220-3133
1,대학,대학원  컴퓨터.소프트웨어학과/블록체인융합학과(학과간)지능융합학과(계약),02-2220-3134
1,대학,대학원  미래자동차공학과/정보시스템학과/정보보안학과(학과간)/자동차전자제어공학과(계약),02-2220-3135
1,대학,시설/관재,02-2220-3136
1,대학,학부/대학원  WCD 건설환경공학과,02-2220-0320
1,대학,WCD 건설환경공학과,02-2220-1344
1,대학,학부/대학원  WCD 에너지공학과,02-2220-2390
1,대학,WCD 에너지공학과,02-2220-2390
1,대학,인공지능학과/대학원,02-2220-0380
1,대학,인공지능학과/대학원,02-2220-0309
1,대학,인텔리전스컴퓨팅 학부/대학원,02-2220-2341
1,대학,인텔리전스컴퓨팅 학부/대학원,02-2220-2342
1,대학,제1공학관 수업지원실,02-2220-0550
1,대학,제1공학관 수업지원실,02-2220-0555
1,대학,제2공학관 수업지원실,02-2220-0551
1,대학,제2공학관 수업지원실,02-2220-0565
1,대학,IT.BT관 수업지원실,02-2220-1788
1,대학,공학교육혁신센터장,02-2220-2810
1,대학,행사 및 예산,02-2220-2811
1,대학,건축공학∙유기나노심화 프로그램,02-2220-2812
1,대학,화학공학심화프로그램,02-2220-2813
1,대학,건설환경공학심화 프로그램,02-2220-2814
1,대학,기계공학심화 프로그램,02-2220-2815
1,대학,책임연구원,02-2220-2834
1,대학,의과대학장,02-2220-0580
1,대학,행정팀장,02-2220-0583
1,대학,총무/예산/온라인강의,02-2220-0677
1,대학,대학원,02-2220-0584
1,대학,의학과1.2.3.4,02-2220-1841
1,대학,의예과1/2/CBT,02-2220-0676
1,대학,학사지원/구리병원/식권,02-2220-0590
1,대학,시설/학생/대관,02-2220-1842
1,대학,기획/인증/교육과정,02-2220-0591
1,대학,교무,02-2220-0585
1,대학,총무지원,02-2220-0581
1,대학,CPX,02-2220-2462
1,대학,PBL,02-2220-2463
1,대학,구리병원 행정,031-560-2764
1,대학,Skill Lab,02-2367/2290-8765
1,대학,시신기증,02-2220-0600
1,대학,해부학실습,02-2290-8198
1,대학,의생명공학전문대학원 시설,02-2220-2419
1,대학,의생명공학전문대학원 행정실,02-2415/2417
1,대학,보건대학원 행정실,02-2220-0716
1,대학,의학혁신융합연구소,02-2220-0589
1,대학,의대동문회 사무실,02-2298-3570
1,대학,인문과학대학장,02-2220-0720
1,대학,부학장,02-2220-0721
1,대학,행정팀장,02-2220-0722
1,대학,행정팀(교무/예산/공간),02-2220-0723
1,대학,행정팀(학적/장학/시설),02-2220-0770
1,대학,행정팀(수업/성적/홍보/행사/교직),02-2220-0740
1,대학,행정팀(대학원/학생/취업/졸업),02-2220-0730
1,대학,행정팀(미래인문학융합학부 학사업무),02-2220-2471
1,대학,사회과학대학장,02-2220-0810
1,대학,행정팀장,02-2220-0812
1,대학,행정팀(교원/예산/학생),02-2220-0813
1,대학,행정팀(학부 학적/장학/유학생 관리/취업),02-2220-0815
1,대학,행정팀(국제관광대학원 교무/예산/입학),02-2220-0817
1,대학,행정팀,02-2220-0818
1,대학,교강사실,02-2220-0814
1,대학,전산실습실,02-2220-0819
1,대학,학생회실,02-2220-1618
1,대학,신문방송실습실,02-2220-0858
1,대학,언론고시반,02-2220-0859
1,대학,커뮤니케이션연구센터,02-2220-1503
1,대학,신문방송실습실,02-2220-0849
1,대학,자연과학대학 학장,02-2220-0880
1,대학,학부장,02-2220-0881
1,대학,행정팀장,02-2220-0882
1,대학,행정팀(대학원/예산/기획/홍보),02-2220-0883
1,대학,행정팀(교무/총무),02-2220-0884
1,대학,행정팀(학적/성적/교직/장학 담당),02-2220-0885
1,대학,행정팀(수업/성적/국제교류/물리학과예산관리),02-2220-0886
1,대학,행정팀(시설/자산/안전/학생지원 담당),02-2220-0887
1,대학,명예교수실,02-2220-0899
1,대학,교강사휴게실,02-2220-0898
1,대학,학생회실,02-2220-1619
1,대학,신과람,02-2220-0947
1,대학,공동전산실,02-2220-1706
1,대학,유기합성연구실,02-2220-0963
1,대학,공동기기실험실,02-2220-0964
1,대학,연구용전산실,02-2220-1707
1,대학,물리과전산실 전임연원.계약교수,02-2220-1863
1,대학,의·치의학소양교육위원회,02-2220-0898
1,대학,화학과기계실,02-2220-1705
1,대학,수학과학회,02-2220-0895
1,대학,수리계산실,02-2220-0889
1,대학,물리학과 WCU사업단,02-2220-0922
1,대학,입자물리연구실,02-2220-0927
1,대학,생리활성분자연구실,02-2220-1746
1,대학,자연대 화학과기기실,02-2220-0887
1,대학,화학과NMR,02-2220-0962
1,대학,생리유기실험실,02-2220-0959
1,대학,생명과학과 세미나실,02-2220-1980
1,대학,정책과학대학장,02-2220-2760
1,대학,행정팀장,02-2220-2761
1,대학,행정팀(수업(정책학과)대학원),02-2220-2762
1,대학,행정팀(학적 장학 예산 학생),02-2220-2764
1,대학,행정팀(수업(행정학과)과학기술정책학과),02-2220-0830
1,대학,행정팀(교무 시설),02-2220-2889
1,대학,(구)과학기술정책학과,02-2220-0816
1,대학,행정고시반,02-2220-0977
1,대학,로스쿨준비반,02-2220-2804
1,대학,법과대학장,02-2220-0970
1,대학,행정팀장,02-2220-0971
1,대학,행정팀(교원/입학/평가/예산 담당),02-2220-2770
1,대학,행정팀(취업/실무수습/변호사시험반),02-2220-0972
1,대학,행정팀(장학/일반대학원),02-2220-0967
1,대학,행정팀(정규학기 시간표 및 수업관리/강의평가/담당시간수),02-2220-0973
1,대학,행정팀(공간대여/학생생활관 관리/전화응대),02-2220-0980
1,대학,행정팀(기자재/시설),02-2220-2781
1,대학,학생회실,02-2220-1620
1,대학,교강사휴게실,02-2220-2783
1,대학,변호사시험반,02-2220-0967
1,대학,법대고시반(지도교수),02-2220-0976
1,대학,제1법학관 PC실,02-2220-0979
1,대학,제3법학관 PC실,02-2220-1004
1,대학,법대발전위원회,02-2220-1008
1,대학,법과대 모의법정,02-2220-1110
1,대학,법대 취관위,02-2220-1656
1,대학,안전법센터,02-2220-2579
1,대학,학생지도상담센터,02-2220-2824
1,대학,공익소수자인권센터,02-2220-2825
1,대학,지적재산 . 정보법센터,02-2220-2826
1,대학,국제소송법센터,02-2220-2827
1,대학,경제금융대학장,02-2220-1010
1,대학,행정팀장,02-2220-1011
1,대학,행정팀(학적/수업/성적/다전공/졸업 등),02-2220-1012
1,대학,행정팀(교무/예산/기획/장학),02-2220-1013
1,대학,행정팀(대학원/유학생/시설/자산/강의실관리),02-2220-1020
1,대학,명예교수실,02-2220-1014
1,대학,교강사실,02-2220-1015
1,대학,PC실,02-2220-1016
1,대학,취관위,02-2220-1017
1,대학,학생회실,02-2220-1109
1,대학,교수세미나실,02-2220-2581
1,대학,경영대학원장,02-2220-2430
1,대학,행정팀장,02-2220-2431
1,대학,행정팀(교무/연구비/학적),02-2220-2432
1,대학,행정팀(재무/예산/장학/시설),02-2220-2433
1,대학,행정팀(수업관리/졸업/교육과정기획),02-2220-2434
1,대학,행정팀(발전전략기획/수업지원/행사/대외협력),02-2220-2435
1,대학,행정팀(경영학인증/국제협력/수업지원),02-2220-2436
1,대학,행정팀(국제교류관리/영문홍보),02-2220-2437
1,대학,행정팀(홍보/기자재관리/학생관리),02-2220-2438
1,대학,행정팀(강의실/기자재대여),02-2220-2439
1,대학,비즈니스 랩,02-2429-1050
1,대학,공인회계사반,02-2220-1487
1,대학,사범대학 학장,02-2220-1090
1,대학,행정팀장,02-2220-1091
1,대학,행정팀(학적/장학/대학원업무/학생),02-2220-1095
1,대학,행정팀(교직업무),02-2220-1092
1,대학,행정팀(교무/총무/예산/입학),02-2220-1093
1,대학,행정팀(학부 수업/공간관리/자산/시설),02-2220-1094
1,대학,디지털학습자원센터,02-2220-1137
1,대학,PC실,02-2220-1099
1,대학,학생회실,02-2220-1622
1,대학,생활과학대학장,02-2220-1170
1,대학,행정팀장,02-2220-1172
1,대학,행정팀(교무/예산/기획/총무/관재),02-2220-1174
1,대학,행정팀(학사/장학/학생/대학원/기금/동문),02-2220-1175
1,대학,행정팀(수업(시간표/성적)/국제(유학생/교환/MOU)/졸업관리),02-2220-1173
1,대학,행정팀(생활과학관 강의실/기자재/시설물 관리 및 공결처리 등 수업지원),02-2220-1171
1,대학,행정팀(기능성식품계약학과 전반업무),02-2220-1200
1,대학,학생회실,02-2220-1623
1,대학,CAD실습실,02-2220-1198
1,대학,식품미생물/평가실,02-2220-1201
1,대학,영양판정실,02-2220-1207
1,대학,음악대학장,02-2220-1220
1,대학,행정팀장,02-2220-1221
1,대학,교무/연구/총무/장학/입학,02-2220-1222
1,대학,수업.성적.학적변동.졸업.교직.취업.외국인.기획.시설.관재.감염병모니터링,02-2220-1223
1,대학,백남음악관 대관/신입학,02-2220-1226
1,대학,음악대학 레슨실 담당,02-2220-1227
1,대학,조율사실(피아노조율),02-2220-1228
1,대학,강의실/연주홀 담당,02-2220-1229
1,대학,작곡과/국악과,02-2220-1250
1,대학,학생회실,02-2220-1624
1,대학,전자음악실,02-2220-1708
1,대학,대학원(음악학과/국악학과/음악치료과학과)/성악과,02-2220-1224
1,대학,예술.체육대학장,02-2220-1310
1,대학,학부장,02-2220-2730
1,대학,행정팀장,02-2220-1312
1,대학,행정팀(교무 /예산 /기획 /산학 및 대외협력),02-2220-1313
1,대학,행정팀(장학),02-2220-1314
1,대학,행정팀(수업/성적/졸업/영화기자재실),02-2220-1315
1,대학,행정팀,02-2220-1316
1,대학,학생회실,02-2220-1625
1,대학,기자재실,02-2220-2732
1,대학,테니스장,02-2220-0686
1,대학,발레홀,02-2220-1339
1,대학,현대무용홀,02-2220-1961
1,대학,한국무용홀,02-2220-1962
1,대학,한양예술극장,02-2220-0789
1,대학,영화기자재실,02-2220-1826
1,대학,간호학부,02-2220-3160
1,대학,행정팀장,02-2220-3161
1,대학,행정팀(교무/수업),02-2220-3162
1,대학,행정팀(간호학과(야)/대학원/장학 /외국간호사서류),02-2220-3163
1,대학,행정팀(임상간호대학원 입학/학사/행사),02-2220-3164
1,대학,행정팀(예산/시설/관재/임간원논문/시험),02-2220-3165
1,대학,국제학부장,02-2220-0285
1,대학,행정팀장,02-2220-0286
1,대학,행정팀(국제학부 학사 및 학적),02-2220-0281
1,대학,행정팀(대학원 수업/성적/수강신청),02-2220-2087
1,대학,행정팀(교무/예산/국제학대학원 입시/장학/공간/구매 外),02-2220-2088
1,대학,중국경제통상,02-2220-2726
1,대학,산업융합학부장,02-2220-2250
1,대학,행정팀장,02-2220-2360
1,대학,행정팀(산업융합학부 RC),02-2220-2361
1,대학,행정팀(기술경영전문대학원 업무(학사행정/산업부 업무)),02-2220-2253
1,대학,행정팀,02-2220-2252
1,대학,행정팀,02-2220-2251
1,대학,행정팀,02-2220-2249
1,대학,인텔리전스컴퓨팅 학부/대학원,02-2220-2341
1,대학,인텔리전스컴퓨팅 학부/대학원,02-2220-2342
1,부속기관,AI솔루션센터장,02-2220-1946
1,부속기관,예산/인사/총무/연구 과제 관리,02-2220-1947
1,부속기관,백남학술정보관장,02-2220-1350
1,부속기관,부관장,02-2220-1351
1,부속기관,학술기획운영팀장,02-2220-1352
1,부속기관,행정/예산,02-2220-1353
1,부속기관,행정근로,02-2220-1357
1,부속기관,홍보/시설,02-2220-1355
1,부속기관,IR/학위논문,02-2220-1363
1,부속기관,독서/정리/행사,02-2220-1359
1,부속기관,정 리,02-2220-1358
1,부속기관,반납/연체/퇴직청산/민원응대,02-2220-1357
1,부속기관,대출/예약/이용자 서비스/상호대차,02-2220-1629
1,부속기관,야간업무 총괄/장서/서고 관리,02-2220-1373
1,부속기관,연구정보팀장,02-2220-1365
1,부속기관,전자자료(전자책/이러닝)/사회대/사범대/정책대/국제학부,02-2220-1366
1,부속기관,단행본(국내서 국외서)/경영대/경금대,02-1356 . 1372
1,부속기관,연속간행물/원문복사/비도서/생과대/예체대/음대,02-2220-1943
1,부속기관,전자자료(전자저널/Web DB)/공대,02-2220-1362
1,부속기관,특성화자료/LibGuide/인문대/자연대,02-2220-1370
1,부속기관,연속간행물실,02-2220-1378
1,부속기관,음악자료실,02-2220-1239
1,부속기관,법학학술정보관,02-2220-2786
1,부속기관,법학학술정보관,02-2220-1638
1,부속기관,건축학술정보관,02-2220-1379
1,부속기관,의학학술정보관,02-2220-1376
1,부속기관,의학학술정보관,02-2220-1377
1,부속기관,의학자료실(구리병원),031-560-2768
1,부속기관,Ask a librarian,02-2220-1371
1,부속기관,출판부(제작/계약),02-2220-1431
1,부속기관,출판부(디자인(편집)),02-2220-1432
1,부속기관,출판부(편집/디자인),02-2220-1433
1,부속기관,출판부(판매/영업),02-2220-1434
1,부속기관,더 불 어 숲1(백남),02-2220-0776
1,부속기관,더 불 어 숲2(법대),02-2220-1669
1,부속기관,수 위 실,02-2220-1437
1,부속기관,출입관리데스크,02-2220-1783
1,부속기관,오뚜기 관 리 실,02-2220-1599
1,부속기관,전 기 실,02-2220-1438
1,부속기관,기 계 실,02-2220-1439
1,부속기관,관리실(AMPM),02-2220-1759
1,부속기관,자율위원실(백남),02-2220-0689
1,부속기관,자율위원실(법대),02-2220-2787
1,부속기관,부속병원(의료원장),02-2220-1380
1,부속기관,행정원장,02-2220-1382
1,부속기관,사무국장,02-2220-1383
1,부속기관,사무관리부장,02-2220-1384
1,부속기관,박물관장,02-2220-1390
1,부속기관,행정팀장,02-2220-1391
1,부속기관,행정팀(학예총괄),02-2220-1392
1,부속기관,행정팀(교육/아카데미/문화유적답사/홍보),02-2220-1394
1,부속기관,행정팀(대여/반환/보존),02-2220-1395
1,부속기관,행정팀(학예연구사_전시담당),02-2220-1396
1,부속기관,행정팀(역사관 운영 및 교사자료 관리),02-2220-2107
1,부속기관,행정팀(행정기록물관리 및 역사관운영),02-2220-2108
1,부속기관,대학기록실,02-2220-1938
1,부속기관,국제어학원장,02-2220-1660
1,부속기관,국제어학원 실장,02-2220-1661
1,부속기관,행정팀장,02-2220-1662
1,부속기관,행정팀(외국어),02-2220-1663
1,부속기관,행정팀(한국어),02-2220-1665
1,부속기관,행정팀(외국어),02-2220-1666
1,부속기관,행정팀(토익),02-2220-1449
1,부속기관,행정팀(한국어),02-2220-1667
1,부속기관,컴퓨터실,02-2220-1668
1,부속기관,외국인교수실,02-2220-1670
1,부속기관,TESOL Faculty,02-2220-1671
1,부속기관,한국어과 교수실(김정훈),02-2220-1538
1,부속기관,한국어과 교수실(이영숙),02-2220-1672
1,부속기관,한국어교수실1,02-2220-1673
1,부속기관,한국어교수실2,02-2220-1674
1,부속기관,한국어교수실3,02-2220-1675
1,부속기관,한국어과 교수실(이유미),02-2220-1679
1,부속기관,TESOL사무실,02-2220-1774
1,부속기관,TESOL사무실,02-2220-1775
1,부속기관,국제어학원,02-2220-1831
1,부속기관,일리노이 TESOL,02-2220-1839
1,부속기관,국제어학원,02-2220-1939
1,부속기관,체육부실,02-2220-1460
1,부속기관,체육부실과장,02-2220-1461
1,부속기관,사무실,02-2220-1462
1,부속기관,사무실,02-2220-1463
1,부속기관,코치실,02-2220-1465
1,부속기관,학생생활관장,02-2220-1470
1,부속기관,행정팀장,02-2220-1480
1,부속기관,행정팀(입퇴사/행정/내국인 입사생 관리),02-2220-1471
1,부속기관,행정팀(학생생활관 외국인 및 고시반 관리),02-2220-1472
1,부속기관,행정팀(시설/소방/안전 관리 Etc./Doing all kinds of work.),02-2220-1488
1,부속기관,기숙사 사무실,02-2220-1489
1,부속기관,장애학생지원센터장,02-2220-0536
1,부속기관,장애학생지원센터,02-1669. 0776
1,부속기관,미래인재교육원,02-2220-1520
1,부속기관,행정팀장,02-2220-1521
1,부속기관,행정팀,02-2220-1522
1,부속기관,행정팀,02-2220-1523
1,부속기관,행정팀,02-2220-1524
1,부속기관,행정팀,02-2220-1525
1,부속기관,한양어린이집,02-2220-1528
1,부속기관,보육교사교수실,02-2220-2725
1,부속기관,사회교육원 교강사실,02-2220-1526
1,부속기관,예체능학부,02-2220-1527
1,부속기관,한양어린이집,02-2220-1528
1,부속기관,어린이복지센터,02-2220-0713
1,부속기관,이동과학교실,02-2220-0949
1,부속기관,사업개발및운영팀,02-2220-1677
1,부속기관,행정및사업지원팀,02-2220-1864
1,부속기관,청소년과학기술진흥센터장,02-2220-0943
1,부속기관,청소년과학기술진흥센터,02-2220-4849
1,부속기관,청소년과학기술진흥센터,02-2220-1864
1,부속기관,청소년과학기술진흥센터,02-2220-1677
1,부속기관,청소년과학기술진흥센터,02-2220-4531
1,부속기관,대학평의원회 의장,02-2220-1940
1,부속기관,사무실,02-2220-1941
1,부속기관,교수평의원회 의장,02-2220-0593
1,부속기관,사무실,02-2220-0597
1,부속기관,노동조합 위원장,02-2220-1600
1,부속기관,노동조합 사무실,02-2220-1601
1,부속기관,총학생회장실,02-2220-0101
1,부속기관,동아리연합회,02-2220-1261
1,부속기관,동아리연합회,02-2220-1626
1,부속기관,컴퓨터써클,02-2220-0103
1,부속기관,세미나실,02-2220-0104
1,부속기관,교지편집실,02-2220-0105
1,부속기관,애국한양문학예술학생연합,02-2220-0106
1,부속기관,장애학생인권위원회,02-2220-0107
1,부속기관,총여학생회,02-2220-0108
1,부속기관,풍물패,02-2220-0109
1,부속기관,국제교류위원회,02-2220-0710
1,부속기관,의과대학 학생회실,02-2220-1616
1,부속기관,sfc기독교동아리,02-2220-1196
1,부속기관,카톨릭동아리,02-2220-1197
1,부속기관,영어회화써클,02-2220-1260
1,부속기관,창업지원센터동아리,02-2220-1342
1,부속기관,고전음악회,02-2220-1548
1,부속기관,에르디아,02-2220-1627
1,부속기관,신명,02-2220-1628
1,부속기관,한양벤처클럽,02-2220-1827
1,부속기관,학원자주화추진위원회,02-2220-1872
1,부속기관,학생군사교육단장,02-2220-1530
1,부속기관,행정과장,02-2220-1531
1,부속기관,훈육관실,02-2220-1533
1,부속기관,명예위원실,02-2220-1536
1,부속기관,훈육관실,02-2220-1534
1,부속기관,훈육관실,02-2220-1535
1,부속기관,교목실장/사무실,02-2220-1468
1,부속기관,교목실,02-2220-1469
1,연구소.사업단.부설기관,Global U-city연구소,02-2220-1804
1,연구소.사업단.부설기관,한양디지털헬스케어센터,02-2220-2752
1,연구소.사업단.부설기관,인공진흥연구원,02-2220-0309
1,연구소.사업단.부설기관,의학혁신연구소,02-2220-0679
1,연구소.사업단.부설기관,간호과학연구소,02-2220-0616
1,연구소.사업단.부설기관,건설연구소,02-2220-4481
1,연구소.사업단.부설기관,경영연구소,02-2220-1059
1,연구소.사업단.부설기관,경제연구소,02-2220-1493
1,연구소.사업단.부설기관,고령사회연구소,02-2220-2797
1,연구소.사업단.부설기관,공간과 디자인 종합연구소,02-597-5902
1,연구소.사업단.부설기관,관광연구소,02-2220-1516
1,연구소.사업단.부설기관,교육공학연구소,02-2220-1517
1,연구소.사업단.부설기관,국토·도시개발정책연구소,02-2220-0329
1,연구소.사업단.부설기관,글로벌교육협력연구소,02-2220-1506
1,연구소.사업단.부설기관,기계기술연구소,02-2220-0469
1,연구소.사업단.부설기관,기초학문연구소(다문화교육연구센터),02-2220-2609
1,연구소.사업단.부설기관,나노과학기술연구소,02-2220-1934
1,연구소.사업단.부설기관,동아시아문화연구소,02-2220-1497
1,연구소.사업단.부설기관,디스플레이공학연구소,02-2220-1971
1,연구소.사업단.부설기관,류마티즘센터,02-2290-9256
1,연구소.사업단.부설기관,류마티즘연구소,02-2220-9248
1,연구소.사업단.부설기관,바이오생명의약연구소,02-2220-4356
1,연구소.사업단.부설기관,방사선안전신기술연구소,02-2220-1791
1,연구소.사업단.부설기관,법학연구소,02-2220-1511
1,연구소.사업단.부설기관,보건의료연구소,02-2220-0666
1,연구소.사업단.부설기관,비교역사문화연구소,02-2220-0545
1,연구소.사업단.부설기관,산업과학연구소,02-2220-1490
1,연구소.사업단.부설기관,세라믹연구소,02-2220-0517
1,연구소.사업단.부설기관,아태지역연구센터,02-2220-1494
1,연구소.사업단.부설기관,우리춤연구소,02-2220-1319
1,연구소.사업단.부설기관,유럽.아프리카연구소,02-2220-0805
1,연구소.사업단.부설기관,음악연구소,02-2220-1512
1,연구소.사업단.부설기관,의공학연구소,02-2220-0693
1,연구소.사업단.부설기관,의공학연구소,02-2220-4979
1,연구소.사업단.부설기관,의과학연구소,02-2220-0589
1,연구소.사업단.부설기관,의생명연구소,02-2220-2420
1,연구소.사업단.부설기관,임베디드소프트웨어연구소,02-2220-4242
1,연구소.사업단.부설기관,자동차전자개발교육센터,02-2220-1868
1,연구소.사업단.부설기관,자동차전자제어연구소,02-2220-0453
1,연구소.사업단.부설기관,자연과학연구소,02-2220-1504
1,연구소.사업단.부설기관,자원개발연구소,02-2220-4410
1,연구소.사업단.부설기관,전기정보통신기술연구소,02-2220-0377
1,연구소.사업단.부설기관,전자음악연구소,02-2220-1709
1,연구소.사업단.부설기관,정부혁신연구소,02-2220-2818
1,연구소.사업단.부설기관,정신건강연구소,02-2220-1507
1,연구소.사업단.부설기관,중국문제연구소,02-2220-2718
1,연구소.사업단.부설기관,지방자치연구소,02-2220-1514
1,연구소.사업단.부설기관,창의수술기술연구소,02-297-8497
1,연구소.사업단.부설기관,철강공정및응용연구소,02-2220-0469
1,연구소.사업단.부설기관,체육과학·스포츠산업연구소,02-2220-1323
1,연구소.사업단.부설기관,커뮤니케이션연구센터,02-2220-1503
1,연구소.사업단.부설기관,평화연구소,02-2220-1639
1,연구소.사업단.부설기관,한국교육문제연구소,02-2220-1505
1,연구소.사업단.부설기관,한국생활과학연구소,02-2220-1203
1,연구소.사업단.부설기관,한양예술융합센터,02-2220-1295
1,연구소.사업단.부설기관,행정문제연구소,02-2220-1508
1,연구소.사업단.부설기관,현대영화연구소,02-2220-0807
1,연구소.사업단.부설기관,현대한국연구소,02-2220-0692
1,연구소.사업단.부설기관,환경및산업의학연구소,02-2220-1717
1,연구소.사업단.부설기관,환경공학연구소,02-2296-7536
1,복지시설.기타.FAX,생과대교직원식당,02-2296-8797
1,복지시설.기타.FAX,신소재교직원식당,02-2281-8166
1,복지시설.기타.FAX,제1학생식당,02-2220-1883
1,복지시설.기타.FAX,제3학생(사랑방)식당,02-304-7691
1,복지시설.기타.FAX,나누리식당(행원),02-281-2762
1,복지시설.기타.FAX,학생회관문구,02-2296-9500
1,복지시설.기타.FAX,신소재문구,02-2298-2049
1,복지시설.기타.FAX,띠모아카페(정보관),02-2298-8901
1,복지시설.기타.FAX,FTC관 도피오카페,02-2281-8182
1,복지시설.기타.FAX,제2생활관카페,02-2282-1741
1,복지시설.기타.FAX,학생회관북카페,070-8866-3534
1,복지시설.기타.FAX,펜드로시카페(인문관),02-2296-9664
1,복지시설.기타.FAX,펜드로시카페(과학기술관),02-2294-2218
1,복지시설.기타.FAX,카페큐(IT/BT관),02-2294-0222
1,복지시설.기타.FAX,인문관편의점,010-9047-2385
1,복지시설.기타.FAX,체육관매점,02-2220-1874
1,복지시설.기타.FAX,제1생활관매점(CU 편의점),02-2293-6105
1,복지시설.기타.FAX,제2생활관매점(CU 편의점),02-2281-5715
1,복지시설.기타.FAX,학술정보관편의점(CU 편의점),02-2293-2360
1,복지시설.기타.FAX,역사관기념품점,02-2220-4141
1,복지시설.기타.FAX,미용부,02-2220-1554
1,복지시설.기타.FAX,서점,02-2220-1851
1,복지시설.기타.FAX,구두방,02-2220-1867
1,복지시설.기타.FAX,세리오카페,02-2291-1011
1,복지시설.기타.FAX,휘트니스센터,02-2299-9688
1,복지시설.기타.FAX,CU편의점 행원파크,02-2282-0773
1,복지시설.기타.FAX,백남학술정보관복사실,02-2296-2049
1,복지시설.기타.FAX,제1공학관복사실,02-2220-1555
1,복지시설.기타.FAX,인문관복사실,02-2293-9598
1,복지시설.기타.FAX,경제금융관복사실,02-2291-1726
1,복지시설.기타.FAX,공업센타복사실,02-2295-5746
1,복지시설.기타.FAX,계단강의실복사실,02-2296-0730
1,복지시설.기타.FAX,신소재복사출력센터,02-2296-2049
1,복지시설.기타.FAX,의대본관복사실,02-2295-2076
1,복지시설.기타.FAX,정보통신관복사실,02-2297-2049
1,복지시설.기타.FAX,투썸플레이스,02-2292-8880
1,복지시설.기타.FAX,코페아,02-교-4748
1,복지시설.기타.FAX,김밥나라,02-2281-5659
1,복지시설.기타.FAX,더케밥,02-2281-4990
1,복지시설.기타.FAX,한양프라자 복사실,02-교-4700
1,복지시설.기타.FAX,한컴테크,02-2291-4006
1,복지시설.기타.FAX,안경점,02-2292-7501
1,복지시설.기타.FAX,디지털사진,02-교-4747
1,복지시설.기타.FAX,기념품점,02-2296-6694
